User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
1,Google Pixel 5,Android,393,6.4,1872,67,1122.0,40.0,Male,4
2,OnePlus 9,Android,268,4.7,1331,42,944.0,47.0,Female,3
3,Xiaomi Mi 11,Android,154,4.0,761,32,,42.0,Male,2
4,Google Pixel 5,Android,239,4.8,1676,56,871.0,20.0,Male,3
5,iPhone 12,iOS,187,4.3,1367,58,988.0,31.0,Female,3
6,Google Pixel 5,Android,99,2.0,940,35,564.0,31.0,Male,2
7,Samsung Galaxy S21,Android,350,7.3,1802,66,,21.0,Female,4
8,OnePlus 9,Android,543,11.4,2956,82,1702.0,31.0,Male,5
9,Samsung Galaxy S21,Android,340,7.7,2138,75,1053.0,42.0,Female,4
10,iPhone 12,iOS,424,6.6,1957,75,1301.0,42.0,Male,4
11,Google Pixel 5,,53,1.4,435,17,,34.0,Female,1
12,OnePlus 9,Android,215,5.5,1690,47,641.0,24.0,Male,3
13,OnePlus 9,Android,462,6.2,2303,65,1099.0,57.0,Female,4
14,Xiaomi Mi 11,Android,215,4.9,1662,43,857.0,43.0,Male,3
15,iPhone 12,iOS,189,5.4,1754,53,779.0,49.0,Female,3
16,Google Pixel 5,Android,503,10.4,2571,84,2025.0,39.0,Female,5
17,OnePlus 9,Android,132,3.6,628,32,344.0,47.0,Female,2
18,iPhone 12,iOS,299,5.8,1431,41,985.0,44.0,Female,3
19,Google Pixel 5,Android,81,1.4,558,16,297.0,26.0,Female,1
20,iPhone 12,iOS,577,8.5,2774,89,2192.0,29.0,Female,5
21,Samsung Galaxy S21,Android,93,2.6,681,37,302.0,45.0,Female,2
22,OnePlus 9,Android,576,11.6,2803,82,1553.0,43.0,Female,5
23,Samsung Galaxy S21,Android,423,6.5,2094,65,1372.0,23.0,Female,4
24,Google Pixel 5,Android,292,5.6,1401,46,949.0,37.0,Female,3
25,OnePlus 9,Android,216,4.0,1711,59,,58.0,Male,3
26,Samsung Galaxy S21,Android,91,3.4,1073,38,451.0,52.0,Male,2
27,iPhone 12,iOS,444,7.6,2372,77,1002.0,29.0,Male,4
28,Google Pixel 5,Android,512,10.5,2409,89,1599.0,33.0,Male,5
29,OnePlus 9,Android,452,6.8,2387,77,1456.0,55.0,Female,4
30,Samsung Galaxy S21,Android,412,6.2,1899,78,1384.0,19.0,Female,4
31,Xiaomi Mi 11,Android,260,6.0,1361,44,,37.0,Female,3
32,Xiaomi Mi 11,,197,4.6,1660,59,,25.0,Male,3
33,Google Pixel 5,Android,278,4.7,1484,55,917.0,21.0,Male,3
34,Google Pixel 5,Android,46,2.0,457,14,105.0,58.0,Male,1
35,Xiaomi Mi 11,Android,593,10.2,2499,81,1616.0,38.0,Female,5
36,Samsung Galaxy S21,Android,32,1.2,580,19,153.0,20.0,Female,1
37,iPhone 12,iOS,122,3.3,755,30,573.0,26.0,Male,2
38,Samsung Galaxy S21,Android,522,11.2,2808,93,2328.0,24.0,Male,5
39,OnePlus 9,Android,473,6.4,2312,74,1400.0,40.0,Male,4
40,Samsung Galaxy S21,Android,398,6.2,1851,77,,23.0,Male,4
41,Xiaomi Mi 11,Android,240,4.7,1464,52,708.0,56.0,Female,3
42,OnePlus 9,Android,576,10.1,2447,83,,33.0,Male,5
43,Samsung Galaxy S21,Android,120,2.1,720,39,392.0,43.0,Male,2
44,Samsung Galaxy S21,Android,152,3.7,993,32,429.0,18.0,Male,2
45,Xiaomi Mi 11,Android,138,2.4,837,21,,56.0,Female,2
46,Xiaomi Mi 11,Android,502,10.9,2476,96,1935.0,39.0,Male,5
47,OnePlus 9,Android,558,8.4,2447,97,1594.0,22.0,Female,5
48,Samsung Galaxy S21,Android,138,3.6,889,25,323.0,27.0,Female,2
49,Google Pixel 5,Android,580,8.2,2623,90,2262.0,49.0,Male,5
50,OnePlus 9,Android,589,8.7,2736,82,,49.0,Male,5
51,Xiaomi Mi 11,Android,452,7.4,2180,61,1417.0,54.0,Female,4
52,Xiaomi Mi 11,Android,245,5.9,1243,52,885.0,29.0,Male,3
53,Samsung Galaxy S21,Android,125,2.7,690,28,393.0,27.0,Female,2
54,Xiaomi Mi 11,Android,97,2.2,1101,38,375.0,53.0,Male,2
55,Google Pixel 5,,516,8.7,2857,83,,,Female,5
56,iPhone 12,,68,1.6,450,14,,30.0,Male,1
